+--------+--------------+---------------+-----------+------------+------------+-------------+---------------------+---------------------+----------+------------+-----+----------------+-------------------------+-----------------+---------------------+
| ticker | order_status | current_price | buy_price | sell_price | stop_limit | profit_take |       buy_time      |      sell_time      |   net    | high_price | low | percent_change |        b_strategy       |    s_strategy   |     update_time     |
|  AVGO  |    closed    |    334.315    |   336.57  |    4.2     |    0.0     |     0.0     | 2026-03-06 10:04:04 | 2026-03-06 10:11:10 | -3950.08 |    0.0     | 0.0 |    -98.7521    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:11:10 |
|  IWM   |    closed    |     252.29    |   251.64  |    2.92    |    0.0     |     0.0     | 2026-03-06 10:12:14 | 2026-03-06 10:16:31 | -3953.58 |  13.3588   | 0.0 |    -98.8396    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:16:31 |
|  MSFT  |    closed    |     410.41    |  411.502  |    2.8     |    0.0     |     0.0     | 2026-03-06 10:14:04 | 2026-03-06 10:20:07 | -3972.78 |    0.0     | 0.0 |    -99.3196    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:20:07 |
|  TSLA  |    closed    |    397.405    |   397.5   |    5.25    |    0.0     |     0.0     | 2026-03-06 10:12:08 | 2026-03-06 10:23:08 | -3947.17 |  2.65487   | 0.0 |    -98.6792    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:23:08 |
|  AVGO  |    closed    |     337.56    |  337.535  |    5.4     |    0.0     |     0.0     | 2026-03-06 10:15:03 | 2026-03-06 10:25:07 | -3936.01 |  13.3333   | 0.0 |    -98.4002    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:25:07 |
|  META  |    closed    |     642.87    |   642.78  |    7.35    |    0.0     |     0.0     | 2026-03-06 10:12:02 | 2026-03-06 10:29:02 | -3954.26 |  1.82927   | 0.0 |    -98.8565    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:29:02 |
|  AAPL  |    closed    |     256.37    |   256.52  |    1.89    |    0.0     |     0.0     | 2026-03-06 10:13:14 | 2026-03-06 10:29:12 | -3970.53 |  1.92308   | 0.0 |    -99.2632    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:29:12 |
|  AMZN  |    closed    |    215.134    |   215.4   |    2.38    |    0.0     |     0.0     | 2026-03-06 10:22:01 | 2026-03-06 10:30:08 | -3955.8  |   2.3166   | 0.0 |    -98.8951    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:30:08 |
|  QQQ   |    filled    |      5.38     |   602.76  |  603.733   |    0.0     |     0.0     | 2026-03-06 10:14:06 | 2026-03-17 11:09:05 | 6.45696  |  3.72549   | 0.0 |    0.161424    | LONG-EMA_9_21_50_STRONG | SHORT-LowerHigh | 2026-03-06 10:30:11 |
|  MSFT  |    closed    |     403.73    |   411.37  |    4.95    |    0.0     |     0.0     | 2026-03-06 10:30:01 | 2026-03-17 09:49:42 | -3951.87 |    12.5    | 0.0 |    -98.7967    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-17 09:49:42 |
