+--------+--------------+---------------+-----------+------------+------------+-------------+---------------------+---------------------+----------+------------+-----+----------------+-------------------------+-----------------+---------------------+
| ticker | order_status | current_price | buy_price | sell_price | stop_limit | profit_take |       buy_time      |      sell_time      |   net    | high_price | low | percent_change |        b_strategy       |    s_strategy   |     update_time     |
|  MSFT  |    closed    |     403.73    |   402.66  |    4.95    |   402.6    |     0.0     | 2026-03-17 09:47:02 | 2026-03-17 09:49:42 | -3951.87 |    12.5    | 0.0 |    -98.7967    |      LONG-HigherLow     |                 | 2026-03-17 09:49:42 |
|  MSFT  |    closed    |    399.625    |  403.835  |    1.87    |   401.34   |     0.0     | 2026-03-17 09:49:47 | 2026-03-17 10:45:43 | -3981.48 |  4.05405   | 0.0 |    -99.5369    |      LONG-HigherLow     |                 | 2026-03-17 10:45:42 |
|  META  |    closed    |     629.64    |  630.815  |    8.05    |   628.9    |     0.0     | 2026-03-17 10:48:03 | 2026-03-17 10:58:01 | -3948.95 |    0.0     | 0.0 |    -98.7239    |      LONG-HigherLow     |                 | 2026-03-17 10:58:00 |
|  TSLA  |    closed    |    398.785    |  399.475  |    5.65    |   399.19   |     0.0     | 2026-03-17 10:51:03 | 2026-03-17 10:58:01 | -3943.43 |    0.0     | 0.0 |    -98.5856    |      LONG-HigherLow     |                 | 2026-03-17 10:58:01 |
|  UNH   |    closed    |     287.11    |   287.99  |    3.7     |   287.66   |     0.0     | 2026-03-17 10:54:01 | 2026-03-17 10:58:02 | -3948.61 |    0.0     | 0.0 |    -98.7152    |      LONG-HigherLow     |                 | 2026-03-17 10:58:01 |
|   BA   |    closed    |     210.5     |   211.38  |    2.56    |   210.53   |     0.0     | 2026-03-17 10:58:05 | 2026-03-17 11:02:08 | -3951.56 |    0.0     | 0.0 |    -98.7889    |      LONG-HigherLow     |                 | 2026-03-17 11:02:07 |
|  AMD   |    closed    |     197.98    |   198.12  |    4.55    |   196.64   |     0.0     | 2026-03-17 09:47:01 | 2026-03-17 11:04:02 | -3908.14 |   7.2165   | 0.0 |    -97.7034    |      LONG-HigherLow     |                 | 2026-03-17 11:04:01 |
|  AMD   |    closed    |     197.98    |   198.26  |    4.55    |   197.9    |     0.0     | 2026-03-17 11:02:02 | 2026-03-17 11:04:02 | -3908.14 |    0.0     | 0.0 |    -97.7034    |      LONG-HigherLow     |                 | 2026-03-17 11:04:01 |
|  MSFT  |    closed    |     399.0     |   399.86  |    3.75    |   399.19   |     0.0     | 2026-03-17 10:55:03 | 2026-03-17 11:04:02 | -3962.49 |  2.40964   | 0.0 |    -99.0622    |      LONG-HigherLow     |                 | 2026-03-17 11:04:02 |
|  IWM   |    closed    |      2.75     |   252.49  |    2.3     |    0.0     |     0.0     | 2026-03-06 10:16:42 | 2026-03-17 11:45:49 | -3963.56 |   3.367    | 0.0 |    -99.0891    | LONG-EMA_9_21_50_STRONG |    CLOSE-ALL    | 2026-03-17 11:10:58 |
|  IWM   |    closed    |      2.75     |  251.265  |    2.3     |   251.23   |     0.0     | 2026-03-17 09:48:04 | 2026-03-17 11:45:49 | -3963.56 |    0.0     | 0.0 |    -99.0891    |      LONG-HigherLow     |    CLOSE-ALL    | 2026-03-17 11:10:58 |
|  AVGO  |    filled    |      7.0      |  318.685  |   322.48   |   323.38   |     0.0     | 2026-03-17 12:51:09 | 2026-03-17 10:53:02 | 47.0727  |    0.0     | 0.0 |    1.17682     |     SHORT-LowerHigh     |  LONG-HigherLow | 2026-03-17 11:10:58 |
|  SPY   |    filled    |      4.37     |   672.58  |    4.11    |    0.0     |     0.0     | 2026-03-06 10:13:05 | 2026-03-17 11:45:49 | -3975.56 |  10.4854   | 0.0 |    -99.3889    | LONG-EMA_9_21_50_STRONG |    CLOSE-ALL    | 2026-03-17 11:10:59 |
|  SPY   |    filled    |      4.37     |   673.84  |    4.11    |   673.19   |     0.0     | 2026-03-17 09:43:55 | 2026-03-17 11:45:49 | -3975.56 |    0.0     | 0.0 |    -99.3889    |      LONG-HigherLow     |    CLOSE-ALL    | 2026-03-17 11:10:59 |
|  SPY   |    filled    |      4.37     |   673.34  |    4.11    |   672.25   |     0.0     | 2026-03-17 10:45:41 | 2026-03-17 11:45:49 | -3975.56 |    0.0     | 0.0 |    -99.3889    |      LONG-HigherLow     |    CLOSE-ALL    | 2026-03-17 11:10:59 |
|  XOM   |    filled    |      1.8      |   159.8   |    2.06    |  159.657   |     0.0     | 2026-03-17 11:09:06 | 2026-03-17 11:45:49 | -3948.44 |    0.0     | 0.0 |    -98.7109    |      LONG-HigherLow     |    CLOSE-ALL    | 2026-03-17 11:10:59 |
|  WMT   |    filled    |      1.56     |   126.44  |    1.42    |   126.22   |     0.0     | 2026-03-17 11:10:04 | 2026-03-17 11:45:49 | -3955.08 |    0.0     | 0.0 |    -98.8769    |      LONG-HigherLow     |    CLOSE-ALL    | 2026-03-17 11:10:59 |
|  AMD   |    closed    |    196.265    |   196.6   |    3.5     |   195.98   |     0.0     | 2026-03-17 12:53:02 | 2026-03-17 13:07:04 | -3928.79 |    0.0     | 0.0 |    -98.2197    |      LONG-HigherLow     |                 | 2026-03-17 13:07:04 |
|  UNH   |    closed    |     287.64    |   286.04  |    5.15    |   286.41   |     0.0     | 2026-03-17 12:59:13 | 2026-03-17 13:16:37 | -3927.98 |  17.0455   | 0.0 |    -98.1996    |      LONG-HigherLow     |                 | 2026-03-17 13:16:37 |
|  IWM   |    closed    |    249.845    |   249.76  |    2.92    |   249.89   |     0.0     | 2026-03-17 13:02:04 | 2026-03-17 13:18:04 | -3953.24 |  5.84192   | 0.0 |    -98.8309    |      LONG-HigherLow     |                 | 2026-03-17 13:18:04 |
|   BA   |    closed    |    211.285    |   210.99  |    3.95    |   210.47   |     0.0     | 2026-03-17 12:52:39 | 2026-03-17 13:21:02 | -3925.11 |   3.7037   | 0.0 |    -98.1279    |      LONG-HigherLow     |                 | 2026-03-17 13:21:01 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:32:39 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:32:55 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:33:08 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:33:20 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:33:33 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:33:45 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:33:57 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:34:09 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:34:21 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:34:32 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:34:43 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:34:54 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:35:06 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:35:19 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:35:33 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:35:45 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:35:57 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:36:09 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:36:20 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:36:31 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:36:42 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:40:11 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:40:24 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:40:37 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:40:49 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:41:03 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:41:16 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:41:29 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:41:41 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 09:41:54 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:09:11 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:09:28 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:09:45 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:10:01 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:10:19 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:10:30 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:10:40 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:10:50 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:11:00 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:11:10 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:11:19 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:11:28 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:11:39 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:11:47 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:11:57 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:12:09 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:12:20 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:12:32 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:12:42 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:12:54 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:27:02 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:27:14 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:27:24 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:27:35 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:27:46 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:27:57 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:28:09 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:28:20 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:28:29 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:28:40 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:28:51 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:29:01 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:29:14 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
| GOOGL  |   unfilled   |     310.47    |    None   |    0.0     |    0.0     |     0.0     |         None        | 2026-03-06 10:29:27 |   0.0    |    0.0     | 0.0 |      0.0       |                         |       None      | 2026-03-17 15:18:54 |
